threshold,scale_pos_weight,num_leaves,max_depth,subsample,colsample_bytree,min_child_samples,min_child_weight,reg_alpha,reg_lambda,AUC,F1_score,Recall,Precision,Avg_Best_Iteration
0.2,1.8,6,21,0.35,0.34,60,0.002,0.003,1.5,0.8566281620151255,0.4319122135617608,0.9291376910076208,0.2813544559198586,617.8
0.25,1.0,7,7,0.2,0.32,120,0.004,0.002,0.5,0.856643751581099,0.4577162282297221,0.7112694337131904,0.33745467389449335,540.8
0.3,1.0,6,21,0.15,0.36,105,0.002,0.004,2.0,0.8565608658471232,0.43174921864762456,0.5398585384324891,0.3597430987511999,608.8
0.25,1.0,9,11,0.3,0.3,165,0.004,0.002,2.5,0.8567365807254677,0.4574642906055356,0.7117684911368797,0.3370715557216212,414.2
0.2,1.0,9,19,0.25,0.36,45,0.001,0.0,0.5,0.856528814419287,0.4571160550659541,0.8066807944888252,0.31893013944758464,381.4
0.25,1.6,4,7,0.2,0.38,60,0.003,0.003,1.5,0.8563720503241576,0.4521646597684078,0.8534946115396398,0.30756035688542316,858.2
0.35,1.6,8,9,0.3,0.3,135,0.004,0.003,1.5,0.8565990981869007,0.45674468277098584,0.7042045549748752,0.3380063037016126,477.4
0.15,1.4,5,19,0.3,0.32,105,0.0005,0.002,2.5,0.8564984375279157,0.4267929745915942,0.9416257894378998,0.27593478089744106,756.8
0.25,1.0,7,13,0.2,0.3,135,0.0005,0.001,2.5,0.8564934490439512,0.4570044070968347,0.710412877199228,0.33687543914426915,472.8
0.15,1.0,6,11,0.2,0.38,75,0.0005,0.004,1.0,0.856194887324515,0.44469483294936707,0.8898887268484389,0.29641656325768384,628.4
0.35,1.2,5,15,0.2,0.38,30,0.002,0.001,1.0,0.8562126453455388,0.42090221239556086,0.49582775974451765,0.36570088419518576,714.8
0.35,1.4,5,7,0.15,0.32,30,0.002,0.001,2.5,0.8564659599156652,0.4455705008090122,0.6272759913857973,0.345530275255752,712.4
0.25,1.0,5,13,0.15,0.32,120,0.004,0.0,0.5,0.8563979606879837,0.45665893381870504,0.7126967053501105,0.33598188653765415,660.4
0.3,1.6,6,21,0.35,0.3,135,0.004,0.001,2.5,0.8566824778831788,0.4575748931661946,0.7873415426471535,0.3225113091079608,635.0
0.15,1.8,6,19,0.15,0.3,135,0.003,0.003,0.5,0.8565994587482869,0.41606577014180557,0.9616783333244208,0.26545935425076905,729.6
0.3,1.6,4,7,0.25,0.38,60,0.0005,0.001,1.5,0.8562968314856336,0.4579227343173172,0.7964048410454486,0.32135641801713827,792.0
